type,juri,role,situation,sop,filename
1033,DE,dispatcher,CBSA alarm,"['If the CBSA alarm key rings on your phone set', 'Press the CBSA alarm key', 'Listen to alarm', 'Acknowledge the alarm by pressing 911 on the telephone', 'Create a call at 4 56 Street', 'Broadcast to South members and NCO advising of alarm', 'Call the CBSA port at 604 943 2722.', 'Ask “We have received an alarm from your Port, is everything ok?”', 'If there is a problem and assistance is required', 'The CBSA officer will say “ EVERYTHING IS  A-OKAY”', 'Delta PD members will respond Code 3 using the same protocol as a police officer 1033 situation', 'If there is no problem and assistance is not required', 'The CBSA officer will say “THERE IS NO PROBLEM - ALL CLEAR”', 'Delta PD members will respond routine to check in and determine why or how the alarm was activated and to confirm CBSA officer is not in duress or compromised.', 'If a CBSA alarm call is created by a call taker', 'Broadcast to South members and NCO advising of alarm', 'Call the CBSA port at 604 943 2722.', 'Ask “We have received an alarm from your Port, is everything ok?”', 'If there is a problem and assistance is required', 'The CBSA officer will say “ EVERYTHING IS  A-OKAY”', 'Delta PD members will respond Code 3 using the same protocol as a police officer 1033 situation', 'If there is no problem and assistance is not required', 'The CBSA officer will say “THERE IS NO PROBLEM - ALL CLEAR”', 'Delta PD members will respond routine to check in and determine why or how the alarm was activated and to confirm CBSA officer is not in duress or compromised']",DE - 1033 - Officer in trouble.docx
1033,DE,dispatcher,Passive duress code,"['If member transmits “everything is A-OK”', 'Refer to DE – Passive duress code']",DE - 1033 - Officer in trouble.docx
1033,DFPF,call taker,,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",DFPF - 1033 - Officer in trouble.docx
1033,DFPF,dispatcher,,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone']",DFPF - 1033 - Officer in trouble.docx
1033,DFPF,dispatcher,1033 activations by member over the radio,['Refer to Instructions – Emergency Key Activations'],DFPF - 1033 - Officer in trouble.docx
1033,NW,call taker,,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",NW - 1033 - Officer in trouble.docx
1033,NW,dispatcher,,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone']",NW - 1033 - Officer in trouble.docx
1033,NW,dispatcher,1033 activations by member over the radio,['Refer to Instructions – Emergency Key Activations'],NW - 1033 - Officer in trouble.docx
1033,PO,call taker,,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",PO - 1033 - Officer in trouble.docx
1033,PO,dispatcher,,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone']",PO - 1033 - Officer in trouble.docx
1033,PO,dispatcher,1033 activations by member over the radio,['Refer to Instructions – Emergency Key Activations'],PO - 1033 - Officer in trouble.docx
1033,RI,call taker,,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",RI - 1033 - Officer in trouble.docx
1033,RI,dispatcher,,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone']",RI - 1033 - Officer in trouble.docx
1033,RI,dispatcher,1033 activations by member over the radio,['Refer to Instructions – Emergency Key Activations'],RI - 1033 - Officer in trouble.docx
1033,RM,call taker,,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",RM - 1033 - Officer in trouble.docx
1033,RM,dispatcher,,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone']",RM - 1033 - Officer in trouble.docx
1033,RM,dispatcher,1033 activations by member over the radio,['Refer to Instructions – Emergency Key Activations'],RM - 1033 - Officer in trouble.docx
1033,SC,call taker,,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",SC - 1033 - Officer in trouble.docx
1033,SC,dispatcher,,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone']",SC - 1033 - Officer in trouble.docx
1033,SC,dispatcher,1033 activations by member over the radio,['Refer to Instructions – Emergency Key Activations'],SC - 1033 - Officer in trouble.docx
1033,SQ,call taker,,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",SQ - 1033 - Officer in trouble.docx
1033,SQ,dispatcher,,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone']",SQ - 1033 - Officer in trouble.docx
1033,SQ,dispatcher,1033 activations by member over the radio,['Refer to Instructions – Emergency Key Activations'],SQ - 1033 - Officer in trouble.docx
1033,SX,call taker,,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",SX - 1033 - Officer in trouble.docx
1033,SX,dispatcher,,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone']",SX - 1033 - Officer in trouble.docx
1033,SX,dispatcher,1033 activations by member over the radio,['Refer to Instructions – Emergency Key Activations'],SX - 1033 - Officer in trouble.docx
1033,UN,call taker,,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",UN - 1033 - Officer in trouble.docx
1033,UN,dispatcher,,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone']",UN - 1033 - Officer in trouble.docx
1033,UN,dispatcher,1033 activations by member over the radio,['Refer to Instructions – Emergency Key Activations'],UN - 1033 - Officer in trouble.docx
1033,VA,call taker,,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",VA - 1033 - Officer in trouble.docx
1033,VA,central dispatcher,,"['Advise all channel Dispatchers that a broadcast is coming over all channels', 'Initiate a warbled agency broadcast over all channels, advising which channel the call will be handled on', 'Broadcast using priority format']",VA - 1033 - Officer in trouble.docx
1033,VA,central dispatcher,1033 activations by member over the radio,['Refer to Instructions – Emergency Key Activations'],VA - 1033 - Officer in trouble.docx
1033,VA,dispatcher,,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone']",VA - 1033 - Officer in trouble.docx
1033,VA,dispatcher,1033 activations by member over the radio,['Refer to Instructions – Emergency Key Activations'],VA - 1033 - Officer in trouble.docx
1033,WP,call taker,,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",WP - 1033 - Officer in trouble.docx
1033,WP,dispatcher,,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone']",WP - 1033 - Officer in trouble.docx
1033,WP,dispatcher,1033 activations by member over the radio,['Refer to Instructions – Emergency Key Activations'],WP - 1033 - Officer in trouble.docx
1033,WV,call taker,,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",WV - 1033 - Officer in trouble.docx
1033,WV,dispatcher,,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone']",WV - 1033 - Officer in trouble.docx
1033,WV,dispatcher,1033 activations by member over the radio,['Refer to Instructions – Emergency Key Activations'],WV - 1033 - Officer in trouble.docx
DOMI,AB,call taker,All other DOMI reports,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or Road NCO to call back.', 'Wait for authorization.', 'Once authorization is received:', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured?', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller?', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children?', 'Where are they in the residence?', 'Are drugs and alcohol involved?', 'Is there any past history?']",AB - DOMI - Domestic in progress.docx
DOMI,AB,call taker,GPS Panic Alarms,"['Create a call', 'Remain on the line recording all detail provided', 'Last known location, GPS coordinates, further updates', 'Do not release call until advised by dispatch']",AB - DOMI - Domestic in progress.docx
DOMI,AB,dispatcher,All other DOMI calls,['Assign two members.'],AB - DOMI - Domestic in progress.docx
DOMI,AB,dispatcher,GPS Panic Alarms,"['Assign two members', 'Advise AB-DVU member and / or NCO', 'When advised by member, advise when call taker can release call']",AB - DOMI - Domestic in progress.docx
DOMI,BI,call taker,,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received:', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured?', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller?', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children?', 'Where are they in the residence?', 'Are drugs and alcohol involved?', 'Is there any past history?']",BI - DOMI - Domestic in progress.docx
DOMI,BI,dispatcher,,"['Assign two members.', 'If call taker advises the line has disconnected, ask NCO for permission to do a call back and advise call taker and ARN the file.']",BI - DOMI - Domestic in progress.docx
DOMI,BU,call taker,,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received:', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured?', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller?', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children?', 'Where are they in the residence?', 'Are drugs and alcohol involved?', 'Is there any past history?']",BU - DOMI - Domestic in progress.docx
DOMI,BU,dispatcher,,['Assign two members.'],BU - DOMI - Domestic in progress.docx
DOMI,DE,call taker,,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received:', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured?', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller?', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children?', 'Where are they in the residence?', 'Are drugs and alcohol involved?', 'Is there any past history?']",DE - DOMI - Domestic in progress.docx
DOMI,DE,dispatcher,,['Assign two members.'],DE - DOMI - Domestic in progress.docx
DOMI,DFPF,call taker,,['Downstream caller to Police of Jurisdiction'],DFPF - DOMI - Domestic in progress.docx
DOMI,NW,call taker,,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received:', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured?', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller?', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children?', 'Where are they in the residence?', 'Are drugs and alcohol involved?', 'Is there any past history?']",NW - DOMI - Domestic in progress.docx
DOMI,NW,dispatcher,,['Assign two members.'],NW - DOMI - Domestic in progress.docx
DOMI,PO,call taker,,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received:', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured?', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller?', 'Query the parties involved on CPIC, BCPORS, PRIME and CFRO (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children?', 'Where are they in the residence?', 'Are drugs and alcohol involved?', 'Is there any past history?']",PO - DOMI - Domestic in progress.docx
DOMI,PO,dispatcher,,['Assign a member'],PO - DOMI - Domestic in progress.docx
DOMI,RI,call taker,,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received:', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured?', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller?', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children?', 'Where are they in the residence?', 'Are drugs and alcohol involved?', 'Is there any past history?']",RI - DOMI - Domestic in progress.docx
DOMI,RI,dispatcher,,['Assign two members.'],RI - DOMI - Domestic in progress.docx
DOMI,RM,call taker,,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received:', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured?', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller?', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children?', 'Where are they in the residence?', 'Are drugs and alcohol involved?', 'Is there any past history?']",RM - DOMI - Domestic in progress.docx
DOMI,RM,dispatcher,,['Assign two members.'],RM - DOMI - Domestic in progress.docx
DOMI,SC,call taker,,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received:', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured?', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller?', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children?', 'Where are they in the residence?', 'Are drugs and alcohol involved?', 'Is there any past history?']",SC - DOMI - Domestic in progress.docx
DOMI,SC,dispatcher,,['Assign two members.'],SC - DOMI - Domestic in progress.docx
DOMI,SQ,call taker,,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received:', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured?', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller?', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children?', 'Where are they in the residence?', 'Are drugs and alcohol involved?', 'Is there any past history?']",SQ - DOMI - Domestic in progress.docx
DOMI,SQ,dispatcher,,['Assign two members.'],SQ - DOMI - Domestic in progress.docx
DOMI,SX,call taker,,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received:', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured?', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller?', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children?', 'Where are they in the residence?', 'Are drugs and alcohol involved?', 'Is there any past history?']",SX - DOMI - Domestic in progress.docx
DOMI,SX,dispatcher,,['Assign two members.'],SX - DOMI - Domestic in progress.docx
DOMI,UN,call taker,,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received:', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured?', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller?', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children?', 'Where are they in the residence?', 'Are drugs and alcohol involved?', 'Is there any past history?']",UN - DOMI - Domestic in progress.docx
DOMI,UN,dispatcher,,['Assign two members.'],UN - DOMI - Domestic in progress.docx
