type,juri,role,sop,filename,topic_id
1033,WV,call taker,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",WV - 1033 - Officer in trouble.docx,7
1033,AB,dispatcher,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone', '1033 activations by member over the radio', 'Refer to Instructions – ']",AB - 1033 - Officer in trouble.docx,1
1033,BI,dispatcher,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone', '1033 activations by member over the radio', 'Refer to Instructions – ']",BI - 1033 - Officer in trouble.docx,1
1033,BU,dispatcher,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone', '1033 activations by member over the radio', 'Refer to Instructions – ']",BU - 1033 - Officer in trouble.docx,1
1033,DFPF,dispatcher,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone', '1033 activations by member over the radio', 'Refer to Instructions – ']",DFPF - 1033 - Officer in trouble.docx,1
1033,NW,dispatcher,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone', '1033 activations by member over the radio', 'Refer to Instructions – ']",NW - 1033 - Officer in trouble.docx,1
1033,PO,dispatcher,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone', '1033 activations by member over the radio', 'Refer to Instructions – ']",PO - 1033 - Officer in trouble.docx,1
1033,RI,dispatcher,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone', '1033 activations by member over the radio', 'Refer to Instructions – ']",RI - 1033 - Officer in trouble.docx,1
1033,RM,dispatcher,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone', '1033 activations by member over the radio', 'Refer to Instructions – ']",RM - 1033 - Officer in trouble.docx,1
1033,SC,dispatcher,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone', '1033 activations by member over the radio', 'Refer to Instructions – ']",SC - 1033 - Officer in trouble.docx,1
1033,SQ,dispatcher,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone', '1033 activations by member over the radio', 'Refer to Instructions – ']",SQ - 1033 - Officer in trouble.docx,1
1033,SX,dispatcher,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone', '1033 activations by member over the radio', 'Refer to Instructions – ']",SX - 1033 - Officer in trouble.docx,1
1033,UN,dispatcher,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone', '1033 activations by member over the radio', 'Refer to Instructions – ']",UN - 1033 - Officer in trouble.docx,1
1033,VA,dispatcher,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone', '1033 activations by member over the radio', 'Refer to Instructions – ']",VA - 1033 - Officer in trouble.docx,1
1033,WP,dispatcher,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone', '1033 activations by member over the radio', 'Refer to Instructions – ']",WP - 1033 - Officer in trouble.docx,1
1033,WV,dispatcher,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone', '1033 activations by member over the radio', 'Refer to Instructions – ']",WV - 1033 - Officer in trouble.docx,1
1033,DE,dispatcher,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone', '1033 activations by member over the radio', 'Refer to Instructions – ', 'Passive duress code', 'If member transmits “everything is A-OK”', 'Refer to ', 'CBSA alarm ', 'If the CBSA alarm key rings on your phone set', 'Press the CBSA alarm key ', 'Listen to alarm ', 'Acknowledge the alarm by pressing 911 on the telephone', 'Create a call at 4 56 Street ', 'Broadcast to South members and NCO advising of alarm', 'Call the CBSA port at 604 943 2722.', 'Ask “We have received an alarm from your Port, is everything ok?”', 'If there is a problem and assistance is required ', 'The CBSA officer will say “ EVERYTHING IS  A-OKAY”', 'Delta PD members will respond Code 3 using the same protocol as a police officer 1033 situation', 'If there is no problem and assistance is not required', 'The CBSA officer will say “THERE IS NO PROBLEM - ALL CLEAR”', 'Delta PD members will respond routine to check in and determine why or how the alarm was activated and to confirm CBSA officer is not in duress or compromised. ', 'If a CBSA alarm call is created by a call taker', 'Broadcast to South members and NCO advising of alarm', 'Call the CBSA port at 604 943 2722.', 'Ask “We have received an alarm from your Port, is everything ok?”', 'If there is a problem and assistance is required ', 'The CBSA officer will say “ EVERYTHING IS  A-OKAY”', 'Delta PD members will respond Code 3 using the same protocol as a police officer 1033 situation', 'If there is no problem and assistance is not required', 'The CBSA officer will say “THERE IS NO PROBLEM - ALL CLEAR”', 'Delta PD members will respond routine to check in and determine why or how the alarm was activated and to confirm CBSA officer is not in duress or compromised']",DE - 1033 - Officer in trouble.docx,2
DOMI,AB,call taker,"['GPS Panic Alarms', 'Create a call', 'Remain on the line recording all detail provided', 'Last known location, GPS coordinates, further updates', 'Do not release call until advised by dispatch', 'All other DOMI reports', 'Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or Road NCO to call back.', 'Wait for authorization.', 'Once authorization is received: ', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured? ', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller? ', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children? ', 'Where are they in the residence? ', 'Are drugs and alcohol involved? ', 'Is there any past history? ']",AB - DOMI - Domestic in progress.docx,2
DOMI,BI,call taker,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received: ', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured? ', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller? ', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children? ', 'Where are they in the residence? ', 'Are drugs and alcohol involved? ', 'Is there any past history? ']",BI - DOMI - Domestic in progress.docx,2
DOMI,BU,call taker,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received: ', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured? ', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller? ', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children? ', 'Where are they in the residence? ', 'Are drugs and alcohol involved? ', 'Is there any past history? ']",BU - DOMI - Domestic in progress.docx,2
DOMI,DE,call taker,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received: ', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured? ', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller? ', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children? ', 'Where are they in the residence? ', 'Are drugs and alcohol involved? ', 'Is there any past history? ']",DE - DOMI - Domestic in progress.docx,2
DOMI,NW,call taker,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received: ', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured? ', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller? ', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children? ', 'Where are they in the residence? ', 'Are drugs and alcohol involved? ', 'Is there any past history? ']",NW - DOMI - Domestic in progress.docx,2
DOMI,PO,call taker,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received: ', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured? ', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller? ', 'Query the parties involved on CPIC, BCPORS, PRIME and CFRO (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children? ', 'Where are they in the residence? ', 'Are drugs and alcohol involved? ', 'Is there any past history? ']",PO - DOMI - Domestic in progress.docx,2
DOMI,RI,call taker,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received: ', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured? ', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller? ', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children? ', 'Where are they in the residence? ', 'Are drugs and alcohol involved? ', 'Is there any past history? ']",RI - DOMI - Domestic in progress.docx,2
DOMI,RM,call taker,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received: ', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured? ', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller? ', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children? ', 'Where are they in the residence? ', 'Are drugs and alcohol involved? ', 'Is there any past history? ']",RM - DOMI - Domestic in progress.docx,2
DOMI,SC,call taker,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received: ', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured? ', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller? ', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children? ', 'Where are they in the residence? ', 'Are drugs and alcohol involved? ', 'Is there any past history? ']",SC - DOMI - Domestic in progress.docx,2
DOMI,SQ,call taker,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received: ', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured? ', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller? ', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children? ', 'Where are they in the residence? ', 'Are drugs and alcohol involved? ', 'Is there any past history? ']",SQ - DOMI - Domestic in progress.docx,2
DOMI,SX,call taker,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received: ', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured? ', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller? ', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children? ', 'Where are they in the residence? ', 'Are drugs and alcohol involved? ', 'Is there any past history? ']",SX - DOMI - Domestic in progress.docx,2
DOMI,UN,call taker,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received: ', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured? ', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller? ', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children? ', 'Where are they in the residence? ', 'Are drugs and alcohol involved? ', 'Is there any past history? ']",UN - DOMI - Domestic in progress.docx,2
DOMI,VA,call taker,"['Create a call in every instance. Do not cancel any of these files', 'CD the call', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received: ', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured? ', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller? ', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children? ', 'Where are they in the residence? ', 'Are drugs and alcohol involved? ', 'Is there any past history? ']",VA - DOMI - Domestic in progress.docx,2
DOMI,WP,call taker,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received: ', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured? ', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller? ', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children? ', 'Where are they in the residence? ', 'Are drugs and alcohol involved? ', 'Is there any past history? ']",WP - DOMI - Domestic in progress.docx,2
DOMI,WV,call taker,"['Create a call in every instance. Do not cancel any of these files', 'If the call drops before officers arrive on scene:', 'Go on not ready.', 'ARN; the line has been disconnected and request permission from member or field supervisor to call back.', 'Wait for authorization.', 'Once authorization is received: ', 'Call the complainant back.', 'Questions:', 'Are there weapons involved?', 'Is anyone injured? ', 'If yes:', 'What are the injuries?', 'Notify EHS.', 'Further questions', 'Who is involved? What is their relationship to the caller? ', 'Query the parties involved on CPIC and BCPORS (when applicable.)', 'Obtain description(s) of the involved parties.', 'What is the location of all the parties involved? (In the kitchen, in the bedroom, in the front yard, etc.)', 'Are there any children in the residence?', 'How old are the children? ', 'Where are they in the residence? ', 'Are drugs and alcohol involved? ', 'Is there any past history? ']",WV - DOMI - Domestic in progress.docx,2
DOMI,DFPF,call taker,['Downstream caller to Police of Jurisdiction'],DFPF - DOMI - Domestic in progress.docx,6
DOMI,AB,dispatcher,"['GPS Panic Alarms', 'Assign two members', 'Advise AB-DVU member and / or NCO', 'When advised by member, advise when call taker can release call', 'All other DOMI calls', 'Assign two members.']",AB - DOMI - Domestic in progress.docx,1
DOMI,PO,dispatcher,['Assign a member'],PO - DOMI - Domestic in progress.docx,1
DOMI,BU,dispatcher,['Assign two members.'],BU - DOMI - Domestic in progress.docx,3
DOMI,DE,dispatcher,['Assign two members.'],DE - DOMI - Domestic in progress.docx,3
DOMI,NW,dispatcher,['Assign two members.'],NW - DOMI - Domestic in progress.docx,3
DOMI,RI,dispatcher,['Assign two members.'],RI - DOMI - Domestic in progress.docx,3
DOMI,RM,dispatcher,['Assign two members.'],RM - DOMI - Domestic in progress.docx,3
DOMI,SC,dispatcher,['Assign two members.'],SC - DOMI - Domestic in progress.docx,3
DOMI,SQ,dispatcher,['Assign two members.'],SQ - DOMI - Domestic in progress.docx,3
DOMI,SX,dispatcher,['Assign two members.'],SX - DOMI - Domestic in progress.docx,3
DOMI,UN,dispatcher,['Assign two members.'],UN - DOMI - Domestic in progress.docx,3
DOMI,VA,dispatcher,['Assign two members.'],VA - DOMI - Domestic in progress.docx,3
DOMI,WP,dispatcher,['Assign two members.'],WP - DOMI - Domestic in progress.docx,3
